"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","Customer__c","Payment_Status__c","Service_Date__c"
"a070Y000003rQeXQAU","0","INV-0002","2017-05-02 06:52:25","0050Y000000Gl4VQAS","2017-05-02 13:35:01","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQKpQAO","Paid by Cash","2017-04-07 00:00:00"
"a070Y000003rRCqQAM","0","INV-0003","2017-05-02 13:32:20","0050Y000000Gl4VQAS","2017-05-02 13:32:20","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqTQAW","Pending","2017-04-07 00:00:00"
"a070Y000003rRCvQAM","0","INV-0004","2017-05-02 13:35:39","0050Y000000Gl4VQAS","2017-05-02 13:35:39","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQMlQAO","Paid by Card","2017-05-03 00:00:00"
"a070Y000003rRDKQA2","0","INV-0005","2017-05-02 13:44:33","0050Y000000Gl4VQAS","2017-05-02 13:44:33","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQHgQAO","Pending","2017-05-15 00:00:00"
"a070Y000003rRDUQA2","0","INV-0006","2017-05-02 13:46:10","0050Y000000Gl4VQAS","2017-05-02 13:46:10","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQLYQA4","Paid by Cash","2017-05-01 00:00:00"
"a070Y000003rRDZQA2","0","INV-0007","2017-05-02 13:49:05","0050Y000000Gl4VQAS","2017-05-02 13:49:05","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTr3QAG","Paid by Card","2017-04-18 00:00:00"
"a070Y000003rRDeQAM","0","INV-0008","2017-05-02 13:51:39","0050Y000000Gl4VQAS","2017-05-02 13:51:39","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqgQAG","Paid by Cash","2017-05-04 00:00:00"
"a070Y000003rRDjQAM","0","INV-0009","2017-05-02 13:53:06","0050Y000000Gl4VQAS","2017-05-02 13:53:06","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqPQAW","Paid by Cash","2017-04-08 00:00:00"
"a070Y000003rRDoQAM","0","INV-0010","2017-05-02 13:53:56","0050Y000000Gl4VQAS","2017-05-02 13:53:56","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQMCQA4","Pending","2017-04-30 00:00:00"
"a070Y000003rRDyQAM","0","INV-0011","2017-05-02 13:55:29","0050Y000000Gl4VQAS","2017-05-02 13:55:29","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQLnQAO","Paid by Card","2017-04-27 00:00:00"
"a070Y000003rRE3QAM","0","INV-0012","2017-05-02 13:56:42","0050Y000000Gl4VQAS","2017-05-02 13:56:42","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqqQAG","Paid by Cash","2017-04-04 00:00:00"
"a070Y000003rRE8QAM","0","INV-0013","2017-05-02 13:57:55","0050Y000000Gl4VQAS","2017-05-02 13:57:55","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqYQAW","Paid by Card","2017-04-14 00:00:00"
"a070Y000003rREDQA2","0","INV-0014","2017-05-02 13:59:18","0050Y000000Gl4VQAS","2017-05-02 13:59:18","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTr5QAG","Paid by Card","2017-04-19 00:00:00"
"a070Y000003rREIQA2","0","INV-0015","2017-05-02 14:00:44","0050Y000000Gl4VQAS","2017-05-02 14:00:44","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTrBQAW","Pending","2017-04-29 00:00:00"
"a070Y000003rRENQA2","0","INV-0016","2017-05-02 14:01:32","0050Y000000Gl4VQAS","2017-05-02 14:01:32","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQJmQAO","Paid by Card","2017-04-17 00:00:00"
"a070Y000003rRESQA2","0","INV-0017","2017-05-02 14:02:27","0050Y000000Gl4VQAS","2017-05-02 14:02:27","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqYQAW","Paid by Cash","2017-01-01 00:00:00"
"a070Y000003rREXQA2","0","INV-0018","2017-05-02 14:03:20","0050Y000000Gl4VQAS","2017-05-02 14:03:20","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqcQAG","Paid by Card","2017-03-17 00:00:00"
"a070Y000003rREcQAM","0","INV-0019","2017-05-02 14:04:13","0050Y000000Gl4VQAS","2017-05-02 14:04:13","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqeQAG","Paid by Card","2017-03-16 00:00:00"
"a070Y000003rREhQAM","0","INV-0020","2017-05-02 14:04:52","0050Y000000Gl4VQAS","2017-05-02 14:04:52","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqqQAG","Paid by Card","2017-03-09 00:00:00"
"a070Y000003rREmQAM","0","INV-0021","2017-05-02 14:05:46","0050Y000000Gl4VQAS","2017-05-02 14:05:46","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqvQAG","Paid by Card","2017-03-12 00:00:00"
"a070Y000003rRErQAM","0","INV-0022","2017-05-02 14:07:15","0050Y000000Gl4VQAS","2017-05-02 14:07:15","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTrAQAW","Paid by Card","2017-03-04 00:00:00"
"a070Y000003rREwQAM","0","INV-0023","2017-05-02 14:08:14","0050Y000000Gl4VQAS","2017-05-02 14:08:14","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqlQAG","Paid by Cash","2017-02-11 00:00:00"
"a070Y000003rRF1QAM","0","INV-0024","2017-05-02 14:09:13","0050Y000000Gl4VQAS","2017-05-02 14:09:13","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTr6QAG","Paid by Card","2017-02-16 00:00:00"
"a070Y000003rRFGQA2","0","INV-0025","2017-05-02 14:59:30","0050Y000000Gl4VQAS","2017-05-02 14:59:30","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQLnQAO","Paid by Card","2017-03-22 00:00:00"
"a070Y000003rRHwQAM","0","INV-0026","2017-05-02 15:19:53","0050Y000000Gl4VQAS","2017-05-02 15:19:53","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTr6QAG","Paid by Card","2017-02-10 00:00:00"
"a070Y000003rRI6QAM","0","INV-0027","2017-05-02 15:21:12","0050Y000000Gl4VQAS","2017-05-02 15:21:12","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTr4QAG","Paid by Cash","2017-02-12 00:00:00"
"a070Y000003rRIBQA2","0","INV-0028","2017-05-02 15:22:33","0050Y000000Gl4VQAS","2017-05-02 15:22:33","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqrQAG","Paid by Cash","2017-03-03 00:00:00"
"a070Y000003rRJdQAM","0","INV-0029","2017-05-02 15:57:52","0050Y000000Gl4VQAS","2017-05-02 15:57:52","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQLnQAO","Paid by Cash","2017-01-13 00:00:00"
"a070Y000003rRJiQAM","0","INV-0030","2017-05-02 15:58:29","0050Y000000Gl4VQAS","2017-05-02 15:58:29","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqqQAG","Paid by Cash","2017-01-09 00:00:00"
"a070Y000003rRJnQAM","0","INV-0031","2017-05-02 15:59:06","0050Y000000Gl4VQAS","2017-05-02 15:59:06","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTrAQAW","Paid by Card","2017-01-12 00:00:00"
"a070Y000003rRJsQAM","0","INV-0032","2017-05-02 15:59:49","0050Y000000Gl4VQAS","2017-05-02 15:59:49","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQG0QAO","Paid by Cash","2017-01-20 00:00:00"
"a070Y000003rRJxQAM","0","INV-0033","2017-05-02 16:00:40","0050Y000000Gl4VQAS","2017-05-02 16:00:40","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQFuQAO","Paid by Cash","2017-01-17 00:00:00"
"a070Y000003rRK2QAM","0","INV-0034","2017-05-02 16:01:28","0050Y000000Gl4VQAS","2017-05-02 16:01:28","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQEhQAO","Paid by Cash","2017-01-23 00:00:00"
"a070Y000003rRK7QAM","0","INV-0035","2017-05-02 16:02:12","0050Y000000Gl4VQAS","2017-05-02 16:02:12","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqTQAW","Paid by Card","2017-01-15 00:00:00"
"a070Y000003rRKCQA2","0","INV-0036","2017-05-02 16:03:01","0050Y000000Gl4VQAS","2017-05-02 16:03:01","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQCgQAO","Paid by Cash","2017-01-12 00:00:00"
"a070Y000003rRKHQA2","0","INV-0037","2017-05-02 16:03:40","0050Y000000Gl4VQAS","2017-05-02 16:03:40","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQKpQAO","Paid by Card","2017-01-20 00:00:00"
"a070Y000003rRKMQA2","0","INV-0038","2017-05-02 16:04:16","0050Y000000Gl4VQAS","2017-05-02 16:04:16","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTr5QAG","Paid by Card","2017-02-02 00:00:00"
"a070Y000003rRKRQA2","0","INV-0039","2017-05-02 16:05:14","0050Y000000Gl4VQAS","2017-05-02 16:05:14","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQLYQA4","Paid by Card","2017-02-11 00:00:00"
"a070Y000003rRKWQA2","0","INV-0040","2017-05-02 16:05:49","0050Y000000Gl4VQAS","2017-05-02 16:05:49","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqPQAW","Paid by Card","2017-02-04 00:00:00"
"a070Y000003rRKbQAM","0","INV-0041","2017-05-02 16:06:33","0050Y000000Gl4VQAS","2017-05-02 16:06:33","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQMlQAO","Paid by Cash","2017-02-13 00:00:00"
"a070Y000003rRKgQAM","0","INV-0042","2017-05-02 16:07:03","0050Y000000Gl4VQAS","2017-05-02 16:07:03","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTr3QAG","Paid by Card","2017-02-06 00:00:00"
"a070Y000003rRKlQAM","0","INV-0043","2017-05-02 16:07:40","0050Y000000Gl4VQAS","2017-05-02 16:07:40","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTr5QAG","Paid by Cash","2017-04-09 00:00:00"
"a070Y000003rRKqQAM","0","INV-0044","2017-05-02 16:08:19","0050Y000000Gl4VQAS","2017-05-02 16:08:19","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQJmQAO","Paid by Card","2017-03-11 00:00:00"
"a070Y000003rRKvQAM","0","INV-0045","2017-05-02 16:08:59","0050Y000000Gl4VQAS","2017-05-02 16:08:59","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqlQAG","Paid by Card","2017-04-01 00:00:00"
"a070Y000003rRL0QAM","0","INV-0046","2017-05-02 16:09:22","0050Y000000Gl4VQAS","2017-05-02 16:09:22","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqPQAW","Paid by Cash","2017-04-17 00:00:00"
"a070Y000003rRL5QAM","0","INV-0047","2017-05-02 16:09:53","0050Y000000Gl4VQAS","2017-05-02 16:09:53","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTr5QAG","Paid by Card","2017-02-11 00:00:00"
"a070Y000003rRLFQA2","0","INV-0048","2017-05-02 16:10:31","0050Y000000Gl4VQAS","2017-05-02 16:10:31","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQLYQA4","Paid by Card","2017-04-05 00:00:00"
"a070Y000003rRLKQA2","0","INV-0049","2017-05-02 16:11:10","0050Y000000Gl4VQAS","2017-05-02 16:11:10","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTr6QAG","Paid by Card","2017-03-05 00:00:00"
"a070Y000003rRLPQA2","0","INV-0050","2017-05-02 16:11:52","0050Y000000Gl4VQAS","2017-05-02 16:11:52","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqgQAG","Paid by Cash","2017-03-08 00:00:00"
"a070Y000003rRMIQA2","0","INV-0051","2017-05-02 16:22:15","0050Y000000Gl4VQAS","2017-05-02 16:22:15","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqgQAG","Paid by Card","2017-05-08 00:00:00"
"a070Y000003rRMNQA2","0","INV-0052","2017-05-02 16:49:05","0050Y000000Gl4VQAS","2017-05-02 16:49:05","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQLnQAO","Paid by Cash","2017-02-07 00:00:00"
"a070Y000003rRMSQA2","0","INV-0053","2017-05-02 16:49:59","0050Y000000Gl4VQAS","2017-05-02 16:49:59","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQLnQAO","Paid by Cash","2017-03-17 00:00:00"
"a070Y000003rRMXQA2","0","INV-0054","2017-05-02 16:50:46","0050Y000000Gl4VQAS","2017-05-02 16:50:46","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQLnQAO","Paid by Cash","2017-04-28 00:00:00"
